L1,L2,a,b,k,p,theta,cagr,sharpe,maxdd,time_in_market,turnover_yr,death_pass
6,26,6,24,1.0,0.0,0.6,0.14811793056752487,0.5744763734325912,-0.5883007466239079,0.8388707926167209,3.0644951140065144,True
6,26,6,24,1.0,-5.0,0.4,0.12132190981078983,0.49194665960792167,-0.588300746623908,0.7473398479913138,3.119218241042345,True
6,26,6,24,1.0,-5.0,0.5,0.14837937758471553,0.5757160438323838,-0.5883007466239079,0.8318132464712269,3.228664495114006,True
6,26,6,24,1.0,-5.0,0.6,0.147008586811598,0.568944442396528,-0.588300746623908,0.8479913137893594,3.037133550488599,True
6,26,6,24,1.5,0.0,0.4,0.12552753076094847,0.5081634134145063,-0.5883007466239081,0.7496199782844734,3.0097719869706836,True
6,26,6,24,1.5,0.0,0.5,0.14718695344035804,0.573130799259115,-0.5883007466239081,0.8250814332247557,3.0644951140065144,True
6,26,6,24,1.5,0.0,0.6,0.14668745917292836,0.5690711903184784,-0.5883007466239081,0.8412595005428881,3.0097719869706836,True
6,26,6,24,1.5,-5.0,0.4,0.1278642823427083,0.5154478716881016,-0.5883007466239081,0.7587404994571119,3.0097719869706836,True
6,26,6,24,1.5,-5.0,0.5,0.14694858044616055,0.5703039265011992,-0.5883007466239081,0.8342019543973941,3.1739413680781756,True
6,26,6,24,1.5,-5.0,0.6,0.14557949757859578,0.5635748404952738,-0.588300746623908,0.8503800217155266,2.9824104234527686,True
6,52,0,12,0.5,0.0,0.4,0.11936491965607354,0.48882891407744505,-0.588300746623908,0.7247557003257329,3.283387622149837,True
6,52,0,12,0.5,0.0,0.5,0.13783868817145484,0.5406270772462788,-0.5883007466239077,0.8131378935939196,2.9003257328990224,True
6,52,0,12,0.5,0.0,0.6,0.13909829083205105,0.5431262011358332,-0.5883007466239081,0.8271444082519,3.0644951140065144,True
6,52,0,12,0.5,-5.0,0.4,0.12246545626226513,0.497934201204858,-0.5883007466239081,0.7387622149837133,3.1739413680781756,True
6,52,0,12,0.5,-5.0,0.5,0.14224596019823554,0.5558390149216286,-0.5883007466239081,0.8203040173724213,2.845602605863192,True
6,52,0,12,0.5,-5.0,0.6,0.14300417486612904,0.5565083893125738,-0.588300746623908,0.8363735070575461,2.9824104234527686,True
6,52,0,12,1.0,0.0,0.4,0.11807750232393355,0.48220862000367,-0.5883007466239081,0.7335504885993486,3.283387622149837,True
6,52,0,12,1.0,0.0,0.5,0.13458316445893548,0.5266493436044454,-0.6115838944803937,0.8268186753528773,2.790879478827361,True
6,52,0,12,1.0,0.0,0.6,0.13704019453756788,0.5329856033195051,-0.6115838944803931,0.843213897937025,2.9550488599348532,True
6,52,0,12,1.0,-5.0,0.4,0.12315371752523152,0.500103160383524,-0.5883007466239079,0.7452768729641693,3.119218241042345,True
6,52,0,12,1.0,-5.0,0.5,0.1389778266327204,0.5417773278831525,-0.6115838944803937,0.8339847991313789,2.736156351791531,True
6,52,0,12,1.0,-5.0,0.6,0.14093902151123094,0.5462656291383486,-0.6115838944803929,0.852442996742671,2.8729641693811074,True
6,52,0,12,1.5,0.0,0.4,0.11914860363496893,0.4856898376087357,-0.588300746623908,0.7450597176981542,3.0644951140065144,True
6,52,0,12,1.5,0.0,0.5,0.13458316445893548,0.5266493436044454,-0.6115838944803937,0.8268186753528773,2.790879478827361,True
6,52,0,12,1.5,0.0,0.6,0.13703028966908137,0.5328592388922307,-0.6115838944803931,0.845385450597177,2.9550488599348532,True
6,52,0,12,1.5,-5.0,0.4,0.12362347250778205,0.5012919952763304,-0.5883007466239079,0.7543973941368078,2.9550488599348532,True
6,52,0,12,1.5,-5.0,0.5,0.1389778266327204,0.5417773278831525,-0.6115838944803937,0.8339847991313789,2.736156351791531,True
6,52,0,12,1.5,-5.0,0.6,0.14092908267968096,0.5461355594176468,-0.6115838944803931,0.854614549402823,2.8729641693811074,True
6,52,3,18,0.5,0.0,0.4,0.12385203780776788,0.5046364055845364,-0.5883007466239081,0.7294245385450597,3.0644951140065144,True
6,52,3,18,0.5,0.0,0.5,0.13803772747715293,0.5421445034857552,-0.5883007466239081,0.8150922909880565,3.0644951140065144,True
6,52,3,18,0.5,0.0,0.6,0.13874197579551995,0.543638958898283,-0.5883007466239082,0.8221498371335505,3.228664495114006,True
6,52,3,18,0.5,-5.0,0.4,0.1257277586815404,0.5090487105031379,-0.5883007466239081,0.741042345276873,2.9550488599348532,True
6,52,3,18,0.5,-5.0,0.5,0.14119153018116282,0.5531011442861213,-0.5883007466239081,0.8198697068403908,3.0097719869706836,True
