entity_id,ticker,signal_date,entry_date,entry_price,stop_price,target_price,reward_risk,exit_date,exit_price,exit_reason,exit_reason_name,holding_days,return_pct,r_multiple
5,NVDA,2024-05-24,2024-05-28,110.0536,88.37606,136.94599,1.2405646581669314,2024-06-20,139.57,target,目標,16,0.268200222437067,1.3616120648376144
3,AAPL,2024-06-03,2024-06-04,192.8021,184.8678,221.06490000000002,3.5621037772708366,2024-07-05,221.06490000000002,target,目標,21,0.1465896896351233,3.5621037772708366
5,NVDA,2024-06-04,2024-06-05,118.1665,93.01903,156.37929,1.5195480897283107,2024-08-05,91.90851,stop,止蝕,41,-0.22221179437488625,-1.0441603071800063
3,AAPL,2024-06-05,2024-06-06,193.8422,184.8678,225.1856,3.4925343198431085,2024-07-08,225.1856,target,目標,20,0.1616954409308191,3.4925343198431085
3,AAPL,2024-06-11,2024-06-12,205.4119,187.7206,238.3204,1.860151599938952,2024-12-02,238.3204,target,目標,119,0.16020736870648689,1.860151599938952
3,AAPL,2024-06-12,2024-06-13,212.7124,188.1168,253.9514,1.6766820081640628,2024-12-24,253.9514,target,目標,134,0.19387210148538592,1.6766820081640628
5,NVDA,2024-06-13,2024-06-14,129.7462,106.7553,180.59249,2.2115832786015357,2024-07-25,106.7553,stop,止蝕,27,-0.1771990239405854,-1.0
5,NVDA,2024-06-14,2024-06-17,132.7712,111.8095,185.77399000000003,2.528553981785831,2024-07-25,111.8095,stop,止蝕,26,-0.157878365187631,-1.0
5,NVDA,2024-06-18,2024-06-20,139.57,116.8079,193.39148999999998,2.3645221662324656,2024-07-17,116.8079,stop,止蝕,18,-0.16308733968617894,-1.0
7,GOOGL,2024-06-25,2024-06-26,181.2326,172.4404,212.5839,3.565808330110789,2024-07-24,172.2717,stop,止蝕,19,-0.0494441949185741,-1.0191874616137033
6,AMZN,2024-06-26,2024-06-27,195.01,181.22,218.99,1.7389412617839037,2024-07-19,181.14,stop,止蝕,15,-0.07112455771498905,-1.005801305293692
6,AMZN,2024-06-27,2024-06-28,197.73,181.22,226.33,1.7322834645669314,2024-07-19,181.14,stop,止蝕,14,-0.08390229100288271,-1.0048455481526355
7,GOOGL,2024-06-27,2024-06-28,182.9096,172.7678,217.54559999999998,3.4151728490011544,2024-07-24,172.2717,stop,止蝕,17,-0.05815933116687155,-1.0489163659310954
8,META,2024-06-27,2024-06-28,513.7017,489.1067,615.1517,4.124822118316738,2024-07-16,489.1067,stop,止蝕,11,-0.04787798054785486,-1.0
4,MSFT,2024-07-01,2024-07-02,445.3495,433.0856,516.4645,5.798726343169807,2024-07-17,433.0856,stop,止蝕,10,-0.027537697920397286,-1.0
9,TSLA,2024-07-01,2024-07-02,218.89,177.0,274.26,1.321795177846742,2024-11-06,284.67,target,目標,89,0.30051624103430963,1.5703031749820973
3,AAPL,2024-07-02,2024-07-03,217.9227,204.6393,274.00030000000004,4.2216300043663555,2024-08-05,197.2101,stop,止蝕,22,-0.09504562856462395,-1.559284520529381
4,MSFT,2024-07-02,2024-07-03,450.253,433.6261,520.1496,4.203826329622483,2024-07-17,433.6261,stop,止蝕,9,-0.03692790497786791,-1.0
