arm,slice,layer,size,n_subindustries,members,top_terms
semantic,2019-06-30,28,8,6,CPAY DLX FIS GPN JKHY MA PBI WU,payment solutions card financial institutions payment merchants debit institutions credit check clients
semantic,2019-06-30,29,3,3,AOS MTW NTAP,goodwill intangible results cash negatively cranes goodwill indefinite defects lived intangible inability adversely
semantic,2019-06-30,30,11,3,CAG CLX CPB GIS HRL HSY KHC MDLZ MKC PG SJM,snacks foods grocery food stores foodservice ingredients brands president vice president
semantic,2019-06-30,31,7,2,AAOI ADI AVGO ON QRVO SWKS TXN,signal analog semiconductor wafer signals wireless mixed signal semiconductors amplifiers modules
semantic,2019-06-30,32,19,9,COTY DECK DG EL FOSL HD LKQ LULU ORLY PVH RL ROST TJX TPR TSCO UA UAA ULTA URBN,stores apparel store merchandise footwear accessories brands retailers retail retail stores
semantic,2019-06-30,33,4,2,AAP AN CVNA KMX,vehicle vehicles automotive stores car vehicle sales store auctions unit sales installment
semantic,2019-06-30,34,11,6,CDW CRM EPAM FLEX JBL MSFT MTD NOW NTNX P SANM,software cloud enterprise solution platform hardware infrastructure scale servers architecture
semantic,2019-06-30,35,4,3,DOV PH TDG TT,refrigeration pumps fluid conditioning engineered aftermarket air conditioning industrial aerospace valves
machine_v2,2023-06-30,0,3,3,AMGN DHR GNRC,virus covid related spread variants visits mitigate covid pandemic situation uncertain patient
machine_v2,2023-06-30,1,5,1,DHI KBH LEN NVR TOL,homebuilding land development homes mortgage land lots mortgage financing single family construction housing
machine_v2,2023-06-30,2,5,3,CDE NEM RGLD SCCO UEC,silver mineral exploration mining mines pit gold metals precious extraction
machine_v2,2023-06-30,3,5,5,COF FLS PBF PKG WMT,graph repurchase number purchased share repurchase performance graph holders record repurchase program index defendants publicly announced
machine_v2,2023-06-30,4,7,1,ALGT ALK JBLU LUV SKYW UAL ULCC,airline aircraft seat flights flight fares fare faa airline industry airlines
machine_v2,2023-06-30,5,5,2,CIFR CLSK MARA RIOT WULF,bitcoin bitcoin mining miners mining blockchain bitcoin blockchain mining bitcoin bitcoin network mining pool computing power
machine_v2,2023-06-30,6,7,7,AFL ALL DAL MMM NI PCG STZ,vice president vice president executive vice president chief officer chief senior vice officer senior chief risk
machine_v2,2023-06-30,7,3,1,CARR LII TT,refrigeration hvac heating cooling heating cooling indoor air conditioning ventilation residential conditioning
machine_v2,2023-06-30,8,4,1,IONQ QBTS QUBT RGTI,classical quantum computers computational optimization problems gate merger sub error correction chip problem
machine_v2,2023-06-30,9,5,2,CZR DKNG MGM PENN WYNN,betting sports betting casino gaming sports las vegas vegas las casinos games
machine_v2,2023-06-30,10,3,1,CSX NSC UNP,railroads intermodal railroad rail freight coal shipments carriers terminals railway
machine_v2,2023-06-30,11,5,3,AN CPRT CVNA KMX LKQ,vehicle vehicles auction car auctions reconditioning salvage vehicle sales vehicles sold auto
machine_v2,2023-06-30,12,5,2,AME DOV HEI PH TXT,aircraft aerospace aviation helicopters pumps defense commercial military repair overhaul aerospace defense overhaul
machine_v2,2023-06-30,13,7,2,GD HII KTOS LDOS LMT NOC RTX,aircraft missile sustainment missiles mission systems navy aeronautics fighter unmanned dod
machine_v2,2023-06-30,14,5,2,ALB ASH DOW EMN PPG,coatings intermediates additives propylene solvents feedstocks adhesives personal care paints ethylene
machine_v2,2023-06-30,15,4,3,BWA CMI DE PCAR,aftermarket heavy duty medium duty trucks transmissions diesel vice president president president president vice
machine_v2,2023-06-30,16,5,3,BE CPWR ENPH FSLR NXT,solar electricity grid itc ira installations solar power tax credit kwh renewable
machine_v2,2023-06-30,17,3,1,LCID RIVN TSLA,battery packs nhtsa packs battery vehicles vehicle charging self driving sell vehicles automobile
machine_v2,2023-06-30,18,3,1,AMAT KLAC LRCX,deposition wafer semiconductor films product family defect dielectric film silicon semiconductor manufacturing
machine_v2,2023-06-30,19,4,3,A RVTY TWST TXG,gene dna reagents sample sequencing cell rna genome ngs biology
machine_v2,2023-06-30,20,13,2,ABBV ABSI INCY LLY MRK MRNA NKTR OGN PTGX REGN RVMD VKTX VRTX,fda clinical nda clinical trials trials exclusivity patients drug orphan drugs
machine_v2,2023-06-30,21,11,4,CDNA COO DGX DXCM EW GH HSIC LH PODD RMD TFX,fda clinical medicare patients medical devices patient medical device medicaid physician device
machine_v2,2023-06-30,22,3,1,EHC HCA THC,beds inpatient acute care medicare hospital hhs hospitals medicaid cms care hospitals
machine_v2,2023-06-30,23,5,1,CNC CVS ELV HUM UNH,medicare advantage medicare hmo cms medicaid pbm pharmacy ppo care management dual eligible
machine_v2,2023-06-30,24,6,1,BKR FTI HAL OII SLB WFRD,subsea drilling offshore reservoir completions oilfield oil wellbore intervention pumping
machine_v2,2023-06-30,25,8,4,CNX EOG EP EQT L NC OKE WMB,ngls natural gas acreage wells ferc oil natural gathering ngl gas pipelines
machine_v2,2023-06-30,26,17,3,AEE AEP AES ATO CMS CNP DUK ED ES ETR EVRG FE NEE PNW SO SRE XEL,ferc transmission natural gas utility electric transmission distribution electricity coal gas utilities
machine_v2,2023-06-30,27,8,3,CAG CPB GIS HSY IFF KHC MDLZ SJM,snacks foods ingredients food foodservice president vice president meals snacking vice
