事件表,版本,年份段,進場格,期,表,格,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸一 行業殺 vs 個別殺,個別殺,465,10,0,392,高,0.5053763440860215,0.02235119556458981,0.0019876115462595,235,230,0.1853250369876351,-0.14416555545460866,0.125178403301597,-0.12583023453989214,1.2855014944674892,0.9948197566294092,0.02235119556458981,0.0,1.5379776085719985,0.015195252475217367,5,0.4636552968205667,24,1.4624136488567248,0.012118249104608372,-0.010897973973377498
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸一 行業殺 vs 個別殺,行業殺,98,13,0,68,中,0.5714285714285714,0.06563988140973807,0.055972009856798954,56,42,0.22155060899368276,-0.14224108870218816,0.15735570318630965,-0.1264531434758858,1.5575710999902839,1.2443795295315603,0.06563988140973806,1.3877787807814457e-15,0.6761377981809862,0.047567521356016565,1,0.10510935028193881,5,0.4498678937740791,0.05934608845333345,0.03805203665388355
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸二 200 日線位置,線下 10% 內,96,5,0,88,中,0.5,0.02905086471456979,0.0128614956968994,48,48,0.19695345917506527,-0.1388517297459257,0.12738345981022556,-0.13000037807736364,1.4184444049451566,0.9798699180276172,0.029050864714569788,3.469446951953614e-16,1.5379776085719985,0.0029194645270718897,1,0.5514672367482709,5,1.18616680067626,0.013167425305544225,-0.005705466240833733
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸二 200 日線位置,線下逾 10%,405,7,0,332,高,0.5382716049382716,0.033786794394709295,0.012435240324127,218,187,0.18937038726181063,-0.14758873097977246,0.1416171559584479,-0.1335937310758853,1.2830951659023648,1.060058393593372,0.033786794394709316,2.0816681711721685e-15,0.9277172922980056,0.027654947432769403,5,0.29189577761147506,21,0.9413577700659613,0.024223628919014927,0.002089687112186452
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸二 200 日線位置,線之上,62,11,0,56,中,0.4032258064516129,0.005701283439235949,-0.0273128815776641,25,37,0.20886829329050546,-0.1315737232170272,0.1274359590679188,-0.1057823735861069,1.587462056887932,1.204699372378763,0.005701283439235955,5.204170427930421e-16,0.6576816842054325,-0.02455046769812011,1,1.8605931827710023,4,6.501845050769748,-0.004986919852013179,-0.03353085931962314
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸二 250 日線位置(緩衝對照),線下 10% 內,106,5,0,100,高,0.4528301886792453,0.0011675004273218922,-0.0300093951526971,48,58,0.17712780300713016,-0.14445481894907117,0.1386287810111356,-0.13956183650910658,1.2261813368066188,0.9933143936672824,0.001167500427321888,4.119968255444917e-16,0.731241176472126,-0.014825158241548569,2,10.237653337827245,6,22.201808063762083,-0.010992367377429509,-0.0262383071729053
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸二 250 日線位置(緩衝對照),線下逾 10%,372,4,0,308,高,0.5456989247311828,0.037712953954229335,0.01416786451595935,203,169,0.1911735857003875,-0.14662141435624465,0.1443062674429842,-0.1295442627152375,1.3038585566764134,1.113953365578191,0.03771295395422934,6.938893903907228e-16,0.9277172922980056,0.031109827389168114,4,0.2325830836191659,19,0.8336996208388111,0.029256140992375394,0.006609247641864499
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸二 250 日線位置(緩衝對照),線之上,85,14,0,75,中,0.47058823529411764,0.03144753411081363,-0.0053421980012851,40,45,0.21619613385548941,-0.1327734434400093,0.11910493925904925,-0.1057823735861069,1.6283085551906529,1.1259431531104545,0.03144753411081362,6.938893903907228e-16,1.5379776085719985,-0.0012252723153152855,1,0.5753663913595153,5,1.4351623803277984,0.013512652271989991,-0.014540082786545139
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,總表(三格進場),全部,535,51,0,429,高,0.4485981308411215,0.02518100244791211,-0.0274120810396764,240,295,0.30179297698999197,-0.19985924802700028,0.18298398498314125,-0.1685701700398397,1.5100275817570414,1.0855063202457171,0.025181002447912146,3.469446951953614e-15,3.5697477446936787,0.010897407117330966,6,0.8929824995304568,27,2.1575170622129116,0.0027253728706838278,-0.030696614936495267
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸一 行業殺 vs 個別殺,個別殺,445,30,0,378,高,0.42921348314606744,0.010325002439396064,-0.0437608019300717,191,254,0.2961957318782894,-0.20464078229614974,0.1719474954843034,-0.17250842706451341,1.447393469448549,0.9967483815732652,0.010325002439396061,3.469446951953614e-16,3.5697477446936787,-0.006967849859008257,5,2.314618614731712,23,5.394709128384109,-0.01372768404493474,-0.04784844834027472
