事件表,版本,年份段,進場格,期,樣本N,觀察平均超額,觀察勝率,"缺失平均 -50 個百分點時,平均歸零所需缺失比例 m","缺失平均 -75 個百分點時,平均歸零所需缺失比例 m","缺失平均 -100 個百分點時,平均歸零所需缺失比例 m"
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,6m,1567,0.0072857509650293,0.4345883854499043,0.014362222773199,0.009620874228446626,0.007233052744019453
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,12m,1426,0.0305388722457373,0.4537166900420757,0.05756198809046394,0.03912537008934865,0.029633886763715544
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,跌勢衰竭,1m,1717,0.0085830580808906,0.5101921956901573,0.01687641368408591,0.011314592369890967,0.008510016118278105
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,跌勢衰竭,3m,1655,0.0135489408330079,0.4924471299093655,0.02638295935540376,0.017744692066793296,0.013367821016982563
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,跌勢衰竭,6m,1537,0.0030154256290423,0.4320104098893949,0.005994698125353474,0.004004467274389924,0.003006360173524921
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,跌勢衰竭,12m,1419,0.0424046239235529,0.4432699083861874,0.0781789499079371,0.053513852195344935,0.04067961993869929
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,買方回來,1m,1701,-0.0016094255332459,0.4873603762492651,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,買方回來,3m,1617,0.0011802719950728,0.4669140383426097,0.0023549849445877705,0.0015712233655153045,0.0011788805953206083
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,買方回來,6m,1512,-0.0073060692676351,0.4246031746031746,,,
events_gatefix.csv,"A(淨現金 N2, gatefix)",全期 2010-2026,買方回來,12m,1396,0.0207324255307991,0.4312320916905444,0.039813970696497114,0.026899640970108135,0.02031132254862764
