年份段,行業共跌,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
全期 2010-2026,行業不明,內部人擬售(Form 144),12m,2,0,0,2,-0.0708476064404029,0.0,0.0,0.0,0.1706627563618212,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,其他申報,3m,3,0,0,3,-0.0906125882180493,0.3333333333333333,0.0,0.0,0.1954531591957764,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,其他申報,12m,1,2,0,1,-0.4938271752259261,1.0,0.0,0.0,-0.2001480624179993,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業殺,0 全部觸發(不分成因),3m,1672,162,1,1065,-0.15958614404550986,0.17404306220095694,0.0029904306220095694,0.04904306220095694,16.6471220607926,高,0.4934210526315789,-0.00346765957663515,0.0433323960982695,-0.14071078730638042,0.15169382376744225,1.5454300819087394,1.1228832945086948,17.0,0.6034617237289857,84.0,1.2638564063839652,0.01735945529425802,-0.012038326628360987,475.0,0.21052631578947367,,,,
全期 2010-2026,行業殺,0 全部觸發(不分成因),12m,1400,434,1,905,-0.26265828150676296,0.4007142857142857,0.03642857142857143,0.21214285714285713,9.355625301048798,高,0.5228571428571429,0.0298628111724863,0.12315270032669211,-0.2591178258672784,0.33060544650564194,1.642771638887435,1.1043523468295213,14.0,0.36910668248602835,70.0,0.9231642182701933,0.0784810259292028,0.009960562107092653,408.0,0.25142857142857145,0.47044275767336113,0.5755457540389564,0.06184623836702512,0.19090747992675824
全期 2010-2026,行業殺,重列或不可依賴(8-K 4.02),3m,2,0,0,2,-0.08159925751007806,0.0,0.0,0.0,0.0607978037668723,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業殺,重列或不可依賴(8-K 4.02),12m,1,1,0,1,-0.3419540375569549,1.0,0.0,0.0,0.2999098418358277,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業殺,退市或不合規通知(8-K 3.01),3m,1,1,0,1,-0.1933751499030316,0.0,0.0,0.0,-0.0839424993506633,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業殺,退市或不合規通知(8-K 3.01),12m,1,1,0,1,-0.4096393707655942,1.0,0.0,0.0,-0.1624563608783453,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業殺,稀釋增發(S-1/S-3/424B),3m,77,7,0,71,-0.1841736809258121,0.18181818181818182,0.0,0.05194805194805195,0.6494022419952208,中,0.44155844155844154,-0.0322635682136009,-0.0027121289473792253,-0.1628914941998792,0.0944493967585622,1.2261608425842137,0.9974470067343054,1.0,-3.109658690357255,4.0,-10.994135465564577,-0.011292581196623958,-0.03431208813165483,52.0,0.23376623376623376,,,,
全期 2010-2026,行業殺,稀釋增發(S-1/S-3/424B),12m,71,13,0,65,-0.3012334157709683,0.4225352112676056,0.04225352112676056,0.2535211267605634,2.664097942208954,中,0.4647887323943662,-0.0230058075996354,0.047029870211300465,-0.3486400630173666,0.24769447574963704,1.4499498375736275,0.81208450704108,1.0,0.7978441373473982,4.0,2.1403439780876043,0.009643183468476847,-0.0568320340191726,46.0,0.2535211267605634,0.34423782725715685,0.5797101449275363,-0.09643002104060973,0.19600922471125723
全期 2010-2026,行業殺,業績(8-K 2.02),3m,518,41,0,434,-0.13967517209729405,0.16795366795366795,0.005791505791505791,0.052123552123552123,16.6471220607926,高,0.5,-0.00033346711316360007,0.08112488802454375,-0.13845928152401588,0.17407259518425727,1.940100475177356,1.2559704743947546,6.0,0.6737818579454143,26.0,1.0428252140568688,0.026774540053320375,-0.003657786138221797,251.0,0.19111969111969113,,,,
全期 2010-2026,行業殺,業績(8-K 2.02),12m,436,123,0,374,-0.25797616220079644,0.42201834862385323,0.045871559633027525,0.23394495412844038,4.253540808979438,高,0.48623853211009177,-0.01488434145496945,0.08267002425802304,-0.3062059413351513,0.3116321580849084,1.5639626633327879,1.0571195294069222,5.0,0.4766204737251886,22.0,1.2317518469091948,0.0437697447473666,-0.020177038239950755,210.0,0.22706422018348624,0.4266013477827116,0.551314294088443,0.010098959463781058,0.16092153090584027
全期 2010-2026,行業殺,收購或處置(8-K 2.01),3m,9,2,0,9,-0.1701463078818771,0.0,0.0,0.0,0.6761377981809862,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業殺,收購或處置(8-K 2.01),12m,9,2,0,9,-0.1958861873219555,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.9950756172285043,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業殺,高管離任(8-K 5.02),3m,192,22,0,176,-0.17319995431407453,0.19791666666666666,0.005208333333333333,0.046875,1.542618327342971,高,0.4791666666666667,-0.0164308903901993,0.022759045659595894,-0.14208213619968676,0.13028692143131992,1.3584465564303256,1.0352446160360105,2.0,0.6472993148838464,10.0,2.076138824507923,0.00811162711248433,-0.025837601030019867,128.0,0.21875,,,,
全期 2010-2026,行業殺,高管離任(8-K 5.02),12m,163,51,0,149,-0.2895716688039982,0.44785276073619634,0.024539877300613498,0.22699386503067484,2.069192559586241,高,0.5153374233128835,0.0277588026502226,0.07063010965792345,-0.2396734685188125,0.30436978008627746,1.4449100268437536,1.203977920881753,2.0,0.3421009576612815,9.0,0.9892167303844573,0.04704471729931008,0.0008061339806034552,110.0,0.25766871165644173,0.43111877510801183,0.6051032880013771,-0.006274511491328915,0.15441276662553455
全期 2010-2026,行業殺,指引或其他重大訊息(8-K 7.01/8.01),3m,333,19,0,277,-0.1797043749752462,0.2072072072072072,0.003003003003003003,0.07207207207207207,1.8689694140634647,高,0.5315315315315315,0.0090473443421423,0.03395071748814817,-0.120953033059437,0.1451201095320997,1.241151057243485,1.0128281584132224,4.0,0.5597904664005321,17.0,1.3231259087908864,0.01512713686050069,-0.011560533846010627,181.0,0.3633633633633634,,,,
全期 2010-2026,行業殺,指引或其他重大訊息(8-K 7.01/8.01),12m,301,51,0,249,-0.2505665239252779,0.3521594684385382,0.019933554817275746,0.1760797342192691,7.670001350347471,高,0.6212624584717608,0.1288777192365116,0.2227981203352266,-0.1462665389232664,0.4029631020450808,1.8718071632901263,1.4389271710041207,4.0,0.24755309399785347,16.0,0.5533412464877836,0.1699015846771376,0.10510152261351899,157.0,0.4019933554817276,0.5252208431175222,0.7127685906888561,0.10835521397164145,0.32072199245360267
全期 2010-2026,行業殺,重大合約或舉債(8-K 1.01/2.03),3m,57,8,0,51,-0.1823899842606253,0.21052631578947367,0.0,0.05263157894736842,1.0405825839196372,中,0.45614035087719296,-0.0198822763807295,0.02445126632101753,-0.1508116251067673,0.143705125838603,1.5184250569093332,1.043351493509509,1.0,0.7466212410404092,3.0,1.7432661892394852,0.00630606422104218,-0.019183455070530382,45.0,0.2807017543859649,,,,
全期 2010-2026,行業殺,重大合約或舉債(8-K 1.01/2.03),12m,52,13,0,47,-0.33164490649962997,0.5,0.057692307692307696,0.38461538461538464,2.218453422361524,中,0.5,0.0037992569703465505,0.07930884727679918,-0.45265637518908797,0.3724728139469333,1.3503306643309048,0.902766771895894,1.0,0.537929465369056,3.0,1.309019284277939,0.03736483600062812,-0.026008450766612484,40.0,0.3076923076923077,0.3409090909090909,0.6595744680851063,-0.1177707102216282,0.2977669201411619
