code,ym,close,volume,turnover_rate,units
US.XLE,2014-05,29.915616,295705952,0.72533000,407684711.79
US.XLE,2014-06,31.564816,356314814,0.87399000,407687518.16
US.XLE,2014-07,30.470611,367589658,0.90161000,407703616.86
US.XLE,2014-08,31.135964,368253800,0.90326000,407694130.15
US.XLE,2014-09,28.722581,525151370,1.28805000,407710391.68
US.XLE,2014-10,27.708321,1528826770,3.74955000,407736066.99
US.XLE,2014-11,25.299453,819120860,2.00900000,407725664.51
US.XLE,2014-12,25.246257,1529949000,3.75230000,407736321.72
US.XLE,2015-01,24.094931,1304571102,3.19955000,407735807.22
US.XLE,2015-02,25.201608,945599036,2.31918000,407729902.81
US.XLE,2015-03,24.910445,713889778,1.75091000,407724999.00
US.XLE,2015-04,26.548023,561338744,1.37678000,407718549.08
US.XLE,2015-05,25.170531,489164366,1.19976000,407718515.37
US.XLE,2015-06,24.293662,469470804,1.15147000,407714316.48
US.XLE,2015-07,22.425416,628611018,1.54177000,407720359.07
US.XLE,2015-08,21.488061,946452328,2.32128000,407728635.93
US.XLE,2015-09,19.930632,752740182,1.84619000,407726280.61
US.XLE,2015-10,22.151297,870033410,2.13385000,407729413.97
US.XLE,2015-11,22.148041,640726936,1.57146000,407727168.37
US.XLE,2015-12,19.818820,1109573302,2.72134000,407730493.80
US.XLE,2016-01,19.125556,1229346346,3.01507000,407733931.88
US.XLE,2016-02,18.590001,1168137342,2.86494000,407735359.90
US.XLE,2016-03,20.479972,995341298,2.44116000,407732921.23
US.XLE,2016-04,22.336373,754722662,1.85104000,407728985.87
US.XLE,2016-05,22.127900,585186448,1.43528000,407715879.83
US.XLE,2016-06,22.730084,664458934,1.62967000,407726063.56
US.XLE,2016-07,22.443627,482130888,1.18252000,407714785.37
US.XLE,2016-08,22.820019,709882548,1.74108000,407725404.92
US.XLE,2016-09,23.661495,801845674,1.96661000,407729887.47
US.XLE,2016-10,22.994643,529603336,1.29893000,407722768.74
US.XLE,2016-11,24.941581,736531128,1.80645000,407722952.75
US.XLE,2016-12,25.373415,580299352,1.42330000,407714011.10
US.XLE,2017-01,24.558178,455947198,1.11828000,407721856.78
US.XLE,2017-02,24.046128,493531162,1.21046000,407721991.64
US.XLE,2017-03,23.688806,764275940,1.87450000,407722560.68
US.XLE,2017-04,22.990681,564516390,1.38453000,407731425.10
US.XLE,2017-05,22.177332,640123996,1.57001000,407719693.51
US.XLE,2017-06,22.152523,826739764,2.02768000,407726941.13
US.XLE,2017-07,22.732610,623415390,1.52902000,407722194.61
US.XLE,2017-08,21.487128,567106900,1.39093000,407717785.94
US.XLE,2017-09,23.675149,519213436,1.27346000,407718684.53
US.XLE,2017-10,23.478087,429687174,1.05390000,407711522.91
US.XLE,2017-11,23.889498,525166738,1.28807000,407715992.14
US.XLE,2017-12,25.148450,444064136,1.08914000,407719977.23
US.XLE,2018-01,26.049840,593232014,1.45499000,407722399.47
US.XLE,2018-02,23.227339,792041050,1.94256000,407730546.29
US.XLE,2018-03,23.627475,596346762,1.46265000,407716652.65
US.XLE,2018-04,25.870700,652163646,1.59954000,407719498.11
US.XLE,2018-05,26.645314,737384530,1.80857000,407716886.82
US.XLE,2018-06,26.797199,614834820,1.50799000,407718101.58
US.XLE,2018-07,27.213589,498471752,1.22260000,407714503.52
US.XLE,2018-08,26.267889,512118066,1.25608000,407711344.82
US.XLE,2018-09,26.910451,463560630,1.13697000,407715797.25
US.XLE,2018-10,23.861974,869253736,2.13195000,407727074.27
US.XLE,2018-11,23.488909,797382010,1.95568000,407726217.99
US.XLE,2018-12,20.567090,954393124,2.34076000,407727884.96
US.XLE,2019-01,22.873043,667379814,1.63683000,407727017.47
US.XLE,2019-02,23.400221,419751328,1.02953000,407711604.32
US.XLE,2019-03,23.898049,613193054,1.50394000,407724413.21
US.XLE,2019-04,23.894435,505822450,1.24061000,407720758.34
