month_end,series,n_members,total_mcap,pe_fwd,n_fwd,pe_now,n_now,pe_lag,n_lag
2023-12-31,XLV,63,5189109323513.439,37.11319023804792,63,33.70345503102964,63,30.527966745298063,63
2024-01-31,XLV,63,5343069719368.27,35.07229359825708,63,34.74592404585583,63,31.48789061686963,63
2024-02-29,XLV,63,5485550673119.29,36.14566775947628,63,35.749638202582204,63,35.7719460996353,63
2024-03-31,XLV,63,5647047664104.32,29.53692546281006,63,44.709049912943144,63,36.78193469535175,63
2024-04-30,XLV,63,5323697612571.511,27.697675801089137,63,41.98082631786495,63,34.42732323053759,63
2024-05-31,XLV,63,5448616755571.561,28.350948573676362,63,42.97342607396712,63,42.81994710810481,63
2024-06-30,XLV,62,5565779414620.32,26.946653169633965,62,42.30038785829508,62,43.483603642261365,62
2024-07-31,XLV,62,5688423308342.07,27.53282418843981,62,43.08374318390376,62,44.4433614192513,62
2024-08-31,XLV,62,5938836441659.02,28.853710413865596,62,45.13864773096698,62,45.296808271291596,62
2024-09-30,XLV,61,5852800205828.19,28.906736798145644,61,41.31374848745935,61,44.0549264618583,61
2024-10-31,XLV,61,5522799224676.5,27.410344588918505,61,39.07219951909649,61,41.75024191707859,61
2024-11-30,XLV,61,5524614675712.24,27.420678404750724,61,39.088952579675585,61,39.174565923405964,61
2024-12-31,XLV,61,5196655281135.21,26.673789813570295,61,33.586915847294755,61,36.818756735294215,61
2025-01-31,XLV,61,5536110980899.93,28.449644845306445,61,35.79276706961175,61,39.2449214651408,61
2025-02-28,XLV,61,5576161315674.65,28.839183379787457,61,36.21128045130974,61,39.687855052548194,61
2025-03-31,XLV,60,5493533108110.641,28.72323113757628,60,28.487423763460548,60,35.66432212490572,60
2025-04-30,XLV,60,5254449766172.061,27.68754092980107,60,27.317147727269724,60,34.27558771332854,60
2025-05-31,XLV,60,4949910258539.55,26.083595000891233,60,25.73006984429409,60,25.774834942575772,60
2025-06-30,XLV,60,5078605725576.05,27.887249135865364,60,24.982732297430058,60,26.37479102032661,60
2025-07-31,XLV,60,4900790855670.64,26.914038332479635,60,24.109084890445114,60,25.460965233406966,60
2025-08-31,XLV,60,5113128098383.92,28.316051873169815,60,25.25180519655561,60,25.259162457500278,60
2025-09-30,XLV,60,5222111317836.641,28.7751965059379,60,26.105417443937668,60,25.773881891485324,60
2025-10-31,XLV,60,5368607640730.58,29.84034044927398,60,26.966201122702902,60,26.60751924635736,60
2025-11-30,XLV,60,5872254405137.04,32.638191352652804,60,29.494029753644664,60,29.517457785633383,60
2025-12-31,XLV,60,5828802744076.5,32.21488858888314,60,30.168267319019794,60,29.19931296950794,60
2026-01-31,XLV,60,5810167762981.48,32.13554276288186,60,30.11465996891495,60,29.124986198028484,60
2026-02-28,XLV,60,5968513050714.47,33.25684883121956,60,31.053642672743784,60,30.00899424654822,60
2026-03-31,XLV,59,5500796597587.25,30.45464152852233,59,29.10047216805985,59,28.555174533574785,59
2026-04-30,XLV,58,5403032683295.0,30.26888365712844,58,28.872777216780282,58,28.328228069574042,58
2026-05-31,XLV,59,5565905971279.0,31.014801342351657,59,29.60296861705315,59,29.631205751820712,59
2026-06-30,XLV,59,5970072683162.0,33.15818115880041,59,33.17726756951384,59,31.66705006804151,59
2026-07-31,XLV,59,6091858957065.0,33.83630063909172,59,33.83630063909172,59,32.314505152370266,59
2026-08-31,XLV,59,6407413183143.5,35.588998417681175,59,35.588998417681175,59,35.6093745461402,59
1998-12-31,XLY,32,381900639509.83,19.925316037387663,32,11.956645576997682,32,12.03256592805504,32
1999-01-31,XLY,31,375600448029.33997,19.300636729837965,31,11.46731581747639,31,11.886379722538098,31
1999-02-28,XLY,31,397422595575.65,17.41240719016399,31,9.217309396157022,31,9.425784132959038,31
1999-03-31,XLY,31,387168729748.45996,19.961526068532365,31,22.849441774391547,31,12.324893004434198,31
1999-04-30,XLY,31,401145547546.22,20.016549762128463,31,23.055913338982716,31,12.24703102101641,31
1999-05-31,XLY,31,382401434466.9,18.83746980166317,31,21.711221547437376,31,22.389681806315227,31
1999-06-30,XLY,33,437340702688.85,20.80542719113061,33,24.486794830220553,33,24.358754649443387,33
1999-07-31,XLY,33,417723189460.76,20.144234818102053,33,22.988139939195413,33,22.92522978472546,33
1999-08-31,XLY,33,396356604810.79004,19.018372092389125,33,21.58537274528909,33,22.185042937440322,33
1999-09-30,XLY,33,400301106287.68994,19.277346330739757,33,21.477935143363077,33,22.094531427038277,33
1999-10-31,XLY,34,421280756194.89,21.245238336210235,34,21.870201599028526,34,22.655679913647205,34
1999-11-30,XLY,34,422086470008.74,22.06580601571156,34,21.769663823225546,34,22.28502986953453,34
1999-12-31,XLY,34,459073324016.08997,23.932148419092357,34,22.914771578744087,34,23.77013261266934,34
2000-01-31,XLY,35,409284064852.33,23.97869350488268,35,19.875446264836565,35,20.829092774928924,35
2000-02-29,XLY,35,388291898960.43,20.13615733390067,35,16.224684037187842,35,16.513315222455358,35
2000-03-31,XLY,34,439469794700.27,28.125023067195194,34,20.71568937625564,34,21.263563927226794,34
2000-04-30,XLY,34,420756654593.13995,26.79308364107287,34,19.621388788826298,34,20.296304818649084,34
2000-05-31,XLY,34,378966668026.12994,24.698614700088388,34,17.83335889787815,34,18.124934731408537,34
2000-06-30,XLY,35,368241133702.39996,29.1087073127261,35,17.283458227068657,35,17.218159295418094,35
2000-07-31,XLY,35,374583967456.21,29.30898861126402,35,17.53260525030323,35,17.511400952028318,35
2000-08-31,XLY,35,362543943265.14996,28.11326976729609,35,16.988978415216295,35,17.077942410657954,35
2000-09-30,XLY,35,392869553270.35,32.44589208247991,35,16.7091895266068,35,15.681944976603045,35
2000-10-31,XLY,35,378792685427.01,29.435504345884024,35,16.582781722233463,35,15.158526085172335,35
2000-11-30,XLY,35,352005385522.81006,27.61124692939123,35,15.40805367025946,35,14.970619411302529,35
2000-12-31,XLY,33,391413889404.2001,68.31131855519853,33,19.042637253635288,33,16.921993522110473,33
2001-01-31,XLY,33,420090684551.05005,66.01750875133192,33,20.490279603280683,33,18.156927911662503,33
2001-02-28,XLY,33,396454392273.56,57.856847331040534,33,19.919933792382533,33,17.69528280440781,33
2001-03-31,XLY,33,387468309053.2,68.33446025240754,33,21.93952861324632,33,19.159800280503028,33
2001-04-30,XLY,33,413594604024.66003,66.24663807113116,33,23.310609433856516,33,20.50221922171827,33
2001-05-31,XLY,33,421490878325.44995,66.44531071265851,33,23.70860523247216,33,23.846158055883887,33
2001-06-30,XLY,33,418496844063.05,48.97686401437252,33,30.38282234788429,33,23.543299966709874,33
2001-07-31,XLY,33,439454735758.38,48.49451232543697,33,31.497693415869254,33,24.677715516554162,33
2001-08-31,XLY,33,412689392857.26,44.35849976400753,33,29.2702819575488,33,29.920540032317767,33
2001-09-30,XLY,33,353690012640.75,33.75903567370121,33,29.25160451183082,33,25.34007167061422,33
2001-10-31,XLY,33,365094522843.52,33.545947312430826,33,28.378803863681835,33,25.918589841266886,33
2001-11-30,XLY,33,424980762686.83997,38.38969121555631,33,33.36764851941636,33,35.13619696455101,33
