total_return,max_drawdown,sharpe_ratio,n_orders,n_trades,final_value,win_rate,n_break,rr_min,sec,n_entry_signals
2.554006048127481,-0.2638250719283409,1.1344316799433074,1178,601,3554006.048127481,0.28452579034941766,120,4.0,0.23463999992236495,14482
0.0,0.0,inf,0,0,1000000.0,,5,5.0,0.22917219996452332,0
0.0,0.0,inf,0,0,1000000.0,,10,5.0,0.2217299999902025,0
-0.007640844966828474,-0.007640844966828597,-0.4554915897175698,2,1,992359.1550331715,0.0,15,5.0,0.22623249993193895,1
-0.06008029208724934,-0.07067819303085665,-0.40492328798416094,26,13,939919.7079127507,0.07692307692307693,20,5.0,0.23439040000084788,14
0.46385633094321665,-0.10300202708961492,0.9710548484224425,95,48,1463856.3309432166,0.375,25,5.0,0.2229756999295205,52
0.9974345747870427,-0.11646443834727471,1.2779353973053207,266,134,1997434.5747870426,0.30597014925373134,30,5.0,0.2290463000535965,153
1.373271765963608,-0.12276081435014163,1.1379299815237958,600,301,2373271.765963608,0.24584717607973422,40,5.0,0.23568079993128777,492
1.4720206541101444,-0.19329046455851417,0.9550568520214074,800,402,2472020.6541101444,0.22139303482587064,50,5.0,0.22980510001070797,1006
2.280773382018618,-0.19789471544947634,1.2344978500409436,1066,538,3280773.382018618,0.2379182156133829,60,5.0,0.22536739998031408,1653
1.7272479259244495,-0.24005003404394443,0.9508890566442824,1042,528,2727247.925924449,0.21022727272727273,75,5.0,0.21112989995162934,2768
2.5517751498382815,-0.24441057634250452,1.160862075557318,1153,585,3551775.1498382813,0.24102564102564103,90,5.0,0.2454769000178203,4012
1.0710497098994927,-0.25013427921501563,0.6699814038937173,843,427,2071049.7098994926,0.234192037470726,120,5.0,0.2229829999851063,6320
