cik,status,bytes,detail
0001659166,ok,2475947.0,
0001671933,ok,1656962.0,
0001674101,ok,1796210.0,
0001678531,ok,587488.0,
0001679273,ok,2285820.0,
0001679788,ok,1414117.0,
0001681459,ok,2903619.0,
0001682852,ok,1859451.0,
0001685040,ok,2927956.0,
0001687229,ok,2493286.0,
0001690820,ok,1811923.0,
0001692819,ok,2586746.0,
0001699150,ok,2609507.0,
0001701605,ok,2186492.0,
0001705696,ok,1753175.0,
0001707925,ok,2222619.0,
0001711269,ok,2092477.0,
0001713445,ok,563002.0,
0001725057,ok,1887033.0,
0001730168,ok,2297600.0,
0001732845,ok,1737392.0,
0001739940,ok,1936595.0,
0001744489,ok,2519871.0,
0001748790,ok,2264165.0,
0001751008,ok,1183787.0,
0001754301,ok,1492848.0,
0001755672,ok,2167024.0,
0001757898,ok,2278696.0,
0001770450,ok,2387746.0,
0001781335,ok,1854950.0,
0001783180,ok,1872029.0,
0001783879,ok,1381849.0,
0001786842,ok,1467237.0,
0001792044,ok,1642605.0,
0001792789,ok,1394773.0,
0001811074,ok,1104897.0,
0001821825,ok,1388813.0,
0001826011,ok,1057000.0,
0001835632,ok,1329277.0,
0001841666,ok,1430520.0,
0001858681,ok,1415492.0,
0001868275,ok,1466762.0,
0001932393,ok,1141702.0,
0001944048,ok,986820.0,
0001964738,ok,559481.0,
0001967680,ok,604267.0,
0001973266,ok,907574.0,
0001996810,ok,722319.0,
0001996862,ok,817535.0,
0002005951,ok,609101.0,
0002011286,ok,511766.0,
0002011641,ok,621949.0,
0002012383,ok,591729.0,
0002041610,ok,396792.0,
0002058873,ok,337914.0,
0002064953,ok,307157.0,
0002082247,ok,122248.0,
0002089271,ok,85792.0,
0002115436,ok,77964.0,
